word_id	word	parent_id	tag	dependency	lemmatize	sentence_id	doc_id
17	Обамы,	16	PROPN	appos	обама	10	1
18	которого	21	DET	nmod	который	10	1
19	республиканская	20	ADJ	amod	республиканский	10	1
20	оппозиция	21	NOUN	nsubj	оппозиция	10	1
21	упрекает	17	VERB	acl:relcl	упрекать	10	1
22	в	25	ADP	case	в	10	1
23	бездействии,	25	PRON	det	бездействие	10	1
24	чреватом	25	ADJ	amod	чреватый	10	1
25	усугублением	21	NOUN	nmod	усугубление	10	1
26	ситуации	25	NOUN	nmod	ситуация	10	1
27	с	28	ADP	case	с	10	1
28	ИГ.	26	PROPN	nmod	иго	10	1
1	Обама	3	NOUN	nsubj	обама	11	1
2	крайне	3	ADV	advmod	крайне	11	1
3	нуждается	0	VERB	ROOT	нуждаться	11	1
4	в	6	ADP	case	в	11	1
5	любых	6	ADJ	amod	любой	11	1
6	шагах,	3	SYM	nmod	шаг	11	1
7	которые	8	DET	nsubj	который	11	1
8	помогут	3	VERB	acl:relcl	помогать	11	1
9	укрепить	8	VERB	xcomp	укреплять	11	1
10	его	9	PRON	dobj	он	11	1
11	авторитет	9	NOUN	dobj	авторитет	11	1
12	на	14	ADP	case	на	11	1
13	Ближнем	14	ADJ	amod	ближний	11	1
14	Востоке.	11	PUNCT	nmod	восток	11	1
1	C	3	ADP	case	C	12	1
2	другой	3	ADJ	amod	другой	12	1
3	стороны,	11	NOUN	nmod	сторона	12	1
4	сирийская	5	ADJ	amod	сирийский	12	1
5	армия	11	NOUN	nsubj	армия	12	1
6	при	7	ADP	case	при	12	1
7	поддержке	5	NOUN	nmod	поддержка	12	1
8	российских	9	ADJ	amod	российский	12	1
9	ВКС	7	PROPN	nmod	ВКС	12	1
10	недавно	11	ADV	advmod	недавно	12	1
11	освободила	0	VERB	ROOT	освобождать	12	1
12	древний	13	ADJ	amod	древний	12	1
13	город	11	NOUN	dobj	город	12	1
14	Пальмиру,	13	PROPN	appos	пальмира	12	1
15	откуда	16	SCONJ	mark	откуда	12	1
16	остается	11	VERB	advcl	оставаться	12	1
17	буквально	16	ADV	advmod	буквально	12	1
18	шаг	16	NOUN	nsubj	шаг	12	1
19	до	21	ADP	case	до	12	1
20	северо-восточных	21	ADJ	amod	северо-восточный	12	1
21	провинций	18	NOUN	nmod	провинция	12	1
22	Ракка	21	PROPN	nmod	ракка	12	1
23	и	18	CONJ	cc	и	12	1
24	Дираззур,	18	PROPN	conj	дираззур	12	1
25	остающихся	29	VERB	acl	оставаться	12	1
26	пока	29	ADV	advmod	пока	12	1
27	под	28	ADP	case	под	12	1
28	властью	26	NOUN	nmod	власть	12	1
29	ИГ.	24	PROPN	name	иго	12	1
1	А	2	CONJ	cc	а	13	1
2	контроль	0	NOUN	ROOT	контроль	13	1
3	над	5	ADP	case	над	13	1
4	этими	5	DET	det	этот	13	1
5	провинциями	2	NOUN	nmod	провинция	13	1
6	—	2	PUNCT	parataxis	"—
"	13	1
7	это	8	DET	expl	это	13	1
8	господство	6	NOUN	parataxis	господство	13	1
9	над	14	ADP	case	над	13	1
10	без	14	ADP	case	без	13	1
11	малого	14	ADJ	amod	малый	13	1
12	половиной	14	ADJ	amod	половина	13	1
13	сирийской	14	ADJ	amod	сирийский	13	1
14	территории.	8	NOUN	nmod	территория	13	1
1	И	4	CONJ	cc:preconj	и	14	1
2	правительственная	3	ADJ	amod	правительственный	14	1
3	армия	4	NOUN	nsubj	армия	14	1
4	объявила	0	VERB	ROOT	объявлять	14	1
5	о	6	ADP	case	о	14	1
6	начале	4	NOUN	nmod	начало	14	1
7	боевых	8	ADJ	amod	боевой	14	1
8	операций	6	NOUN	nmod	операция	14	1
9	по	11	ADP	case	по	14	1
10	их	11	PRON	det	они	14	1
11	освобождению	8	NOUN	nmod	освобождение	14	1
12	от	13	ADP	case	от	14	1
13	сил	6	NOUN	nmod	сила	14	1
14	ИГ	13	PROPN	nmod	иго	14	1
15	при	16	ADP	case	при	14	1
16	поддержке	6	NOUN	nmod	поддержка	14	1
17	российской	18	ADJ	amod	российский	14	1
18	авиации.	16	NOUN	nmod	авиация	14	1
1	Таким	2	NUM	nummod	такой	15	1
2	образом,	3	NOUN	advmod	образ	15	1
3	напрашивается	0	VERB	ROOT	напрашиваться	15	1
4	вывод:	27	DET	dobj	вывод	15	1
5	если	27	SCONJ	mark	если	15	1
6	эти	7	DET	det	этот	15	1
7	операции	27	NOUN	nsubj	операция	15	1
8	завершаться	7	VERB	acl	завершаться	15	1
9	успехом	8	NOUN	iobj	успех	15	1
10	Дамаска,	9	PROPN	nmod	дамаск	15	1
11	то	12	DET	det	то	15	1
12	план	24	NOUN	nsubj	план	15	1
13	американцев	12	NOUN	nmod	американец	15	1
14	по	15	ADP	case	по	15	1
15	«федерализации»	24	SYM	nmod	федерализация	15	1
16	(а	24	X	discourse	а	15	1
17	на	18	ADP	case	на	15	1
18	деле	24	NOUN	nmod	дело	15	1
19	—	18	SYM	nmod	"—
"	15	1
20	дезинтеграции)	23	ADJ	amod	дезинтеграция	15	1
21	единого	23	ADJ	amod	единый	15	1
22	сирийского	23	ADJ	amod	сирийский	15	1
23	государства	19	NOUN	nmod	государство	15	1
24	окажется	9	VERB	advmod	оказываться	15	1
25	под	26	ADP	case	под	15	1
26	угрозой,	8	NOUN	nmod	угроза	15	1
27	утверждает	3	VERB	advcl	утверждать	15	1
28	Резахах.	27	PROPN	nsubj	резах	15	1
1	По	3	ADP	case	по	16	1
2	его	3	PRON	det	он	16	1
3	мнению,	11	ADP	nmod	мнение	16	1
4	на	6	ADP	case	на	16	1
5	самом	6	ADJ	amod	самый	16	1
6	деле	11	NOUN	nmod	дело	16	1
7	цель	11	NOUN	nsubj	цель	16	1
8	Белого	9	ADJ	amod	белый	16	1
9	дома	7	NOUN	nmod	дома	16	1
10	предельно	11	ADV	advmod	предельно	16	1
11	проста,	0	VERB	ROOT	простой	16	1
12	—	16	PUNCT	punct	"—
"	16	1
13	чтобы	16	SCONJ	mark	чтобы	16	1
14	эти	15	DET	det	этот	16	1
15	провинции	16	NOUN	nsubj	провинция	16	1
16	перешли	11	VERB	ccomp	переходить	16	1
17	под	18	ADP	case	под	16	1
18	контроль	16	NOUN	nmod	контроль	16	1
19	сил,	16	NOUN	nsubj	сила	16	1
20	союзных	26	ADJ	amod	союзный	16	1
21	кому	26	ADJ	amod	кто	16	1
22	угодно	23	ADV	advmod	угодно	16	1
23	(в	26	NUM	nummod	в	16	1
24	крайнем	26	ADJ	amod	крайний	16	1
25	случае,	26	NUM	nummod	случай	16	1
26	террористам),	19	NOUN	nmod	террорист	16	1
27	но	26	CONJ	cc	но	16	1
28	только	30	ADV	advmod	только	16	1
29	не	30	PART	neg	не	16	1
30	Дамаску	26	PROPN	conj	дамаск	16	1
31	и	30	CONJ	cc	и	16	1
32	не	33	PART	neg	не	16	1
33	Москве.	30	VERB	conj	москва	16	1
1	Изначально	4	ADV	advmod	изначально	17	1
2	иранские	3	ADJ	amod	иранский	17	1
3	СМИ	4	NOUN	nsubj	сми	17	1
4	сообщали	0	VERB	ROOT	сообщать	17	1
5	об	6	ADP	case	об	17	1
6	отказе	4	NOUN	nmod	отказ	17	1
7	Москвы	6	PROPN	nmod	москва	17	1
8	«повлиять»	6	CONJ	cc	повлиять	17	1
9	на	10	ADP	case	на	17	1
10	руководство	4	NOUN	nmod	руководство	17	1
11	Сирии	10	PROPN	nmod	сирия	17	1
12	с	13	ADP	case	с	17	1
13	целью	10	NOUN	nmod	цель	17	1
14	прекращения	13	NOUN	nmod	прекращение	17	1
15	боевых	16	ADJ	amod	боевой	17	1
16	действий	14	NOUN	nmod	действие	17	1
17	в	18	ADP	case	в	17	1
18	окрестностях	13	NOUN	nmod	окрестности	17	1
19	Алеппо.	18	PROPN	nmod	алеппо	17	1
1	По	2	ADP	case	по	18	1
2	соглашениям	14	NOUN	nmod	соглашение	18	1
3	США	2	PROPN	nmod	сша	18	1
4	и	3	CONJ	cc	и	18	1
5	РФ,	3	PROPN	conj	рф	18	1
6	боевые	7	ADJ	amod	боевой	18	1
7	действия	14	NOUN	dobj	действие	18	1
8	в	9	ADP	case	в	18	1
9	окрестностях	7	NOUN	nmod	окрестности	18	1
10	Дамаска	9	PROPN	nmod	дамаск	18	1
11	между	13	ADP	case	между	18	1
12	противоборствующими	13	VERB	acl	противоборствующий	18	1
13	группировками	9	NOUN	nmod	группировка	18	1
14	должны	0	ADJ	ROOT	должный	18	1
15	были	14	VERB	aux	быть	18	1
16	прекратиться	14	VERB	xcomp	прекращаться	18	1
17	на	19	ADP	case	на	18	1
18	72	19	NUM	nummod	72	18	1
19	часа	16	NOUN	nmod	час	18	1
20	с	22	ADP	case	с	18	1
21	30	22	ADJ	amod	30	18	1
22	апреля.	16	PROPN	nmod	апрель	18	1
1	Однако	14	ADV	advmod	однако	19	1
2	в	4	ADP	case	в	19	1
3	российском	4	ADJ	amod	российский	19	1
4	Минобороны,	14	PROPN	nmod	минобороны	19	1
5	как	8	ADP	case	как	19	1
6	и	8	CONJ	discourse	и	19	1
7	в	8	ADP	case	в	19	1
8	МИДе,	14	PROPN	nmod	мид	19	1
9	полагают,	14	VERB	cop	полагать	19	1
10	что	14	SCONJ	mark	что	19	1
11	эти	12	DET	det	этот	19	1
12	инициативы	14	NOUN	nsubj	инициатива	19	1
13	не	14	PART	neg	не	19	1
14	должны	0	ADJ	ROOT	должный	19	1
15	касаться	14	VERB	xcomp	касаться	19	1
16	территорий,	15	SYM	iobj	территория	19	1
17	где	18	DET	mark	где	19	1
18	ведется	27	VERB	xcomp	вестись	19	1
19	борьба	18	NOUN	nsubj	борьба	19	1
20	с	21	ADP	case	с	19	1
21	террористами,	19	NOUN	nmod	террорист	19	1
22	в	23	ADP	case	в	19	1
23	частности,	18	NOUN	nmod	частность	19	1
24	к	25	ADP	case	к	19	1
25	окрестностям	18	NOUN	nmod	окрестность	19	1
26	Халеба,	25	PROPN	appos	халеб	19	1
27	отмечалось	15	VERB	conj	отмечаться	19	1
28	на	29	ADP	case	на	19	1
29	портале	27	NOUN	nmod	портал	19	1
30	Javan	29	PROPN	appos	Javan	19	1
31	(1.05).	30	NUM	nummod	1.05	19	1
1	В	2	ADP	case	в	20	1
2	ответ	14	NOUN	nmod	ответ	20	1
3	на	4	ADP	case	на	20	1
4	просьбы	2	NOUN	nmod	просьба	20	1
5	Джона	4	PROPN	nmod	джон	20	1
6	Керри,	5	PROPN	name	керри	20	1
7	который	14	DET	dobj	который	20	1
8	накануне	10	ADP	case	накануне	20	1
9	очередного	10	ADJ	amod	очередной	20	1
10	раунда	14	NOUN	nmod	раунд	20	1
11	переговоров	10	NOUN	nmod	переговоры	20	1
12	в	13	ADP	case	в	20	1
13	Женеве	11	PROPN	nmod	женева	20	1
14	пожелал,	0	VERB	ROOT	пожелать	20	1
15	чтобы	17	SCONJ	mark	чтобы	20	1
16	«перемирие	17	NOUN	nsubj	перемирие	20	1
17	распространилось	14	VERB	ccomp	распространяться	20	1
18	на	20	ADP	case	на	20	1
19	всю	20	DET	det	весь	20	1
20	Сирию»,	17	PROPN	nmod	сирия	20	1
21	в	23	ADP	case	в	20	1
22	российском	23	ADJ	amod	российский	20	1
23	МИДе	24	PROPN	nmod	мид	20	1
24	дали	17	VERB	parataxis	давать	20	1
25	понять,	28	ADV	advmod	понимать	20	1
26	что	28	SCONJ	mark	что	20	1
27	не	28	PART	neg	не	20	1
28	готовы	24	ADJ	ccomp	готовый	20	1
29	принять	28	VERB	xcomp	принимать	20	1
30	эти	29	DET	dobj	этот	20	1
31	предложения,	34	SCONJ	mark	предложение	20	1
32	так	34	SCONJ	mark	так	20	1
33	как	32	ADV	mwe	как	20	1
34	считают	30	VERB	advcl	считать	20	1
35	инициативы	34	NOUN	nsubj	инициатива	20	1
36	Вашингтона	35	PROPN	nmod	вашингтон	20	1
37	«игрой	34	NOUN	iobj	игра	20	1
38	с	39	ADP	case	с	20	1
39	перемирием».	37	NOUN	nmod	перемирие	20	1
1	«Мы	3	CONJ	cc:preconj	мы	21	1
2	не	3	PART	neg	не	21	1
3	можем	0	VERB	ROOT	мочь	21	1
4	оказывать	3	VERB	xcomp	оказывать	21	1
5	давление	4	NOUN	dobj	давление	21	1
6	на	7	ADP	case	на	21	1
7	администрацию	5	NOUN	nmod	администрация	21	1
8	Асада,	7	PROPN	appos	асад	21	1
9	поскольку	20	SCONJ	mark	поскольку	21	1
10	борьба	15	NOUN	nsubj	борьба	21	1
11	за	12	ADP	case	за	21	1
12	Алеппо	10	PROPN	nmod	алеппо	21	1
13	—	15	PUNCT	punct	"—
"	21	1
14	это	15	DET	expl	это	21	1
15	часть	20	NOUN	nsubj	часть	21	1
16	борьбы	15	NOUN	nmod	борьба	21	1
17	против	18	ADP	case	против	21	1
18	терроризма»,	16	NOUN	nmod	терроризм	21	1
19	—	20	PUNCT	iobj	"—
"	21	1
20	цитирует	5	VERB	advcl	цитировать	21	1
21	издание	20	NOUN	dobj	издание	21	1
22	замглавы	21	NOUN	nmod	замглавы	21	1
23	МИД	22	PROPN	nmod	мид	21	1
24	РФ	23	PROPN	nmod	рф	21	1
25	Геннадия	21	PROPN	appos	геннадий	21	1
26	Гатилова.	25	PROPN	name	гатилов	21	1
1	Беспокойство	6	NOUN	nsubj	беспокойство	22	1
2	США	1	PROPN	nmod	сша	22	1
3	очевидно:	6	ADV	advmod	очевидно	22	1
4	тот,	6	PUNCT	dobj	тот	22	1
5	кто	4	DET	name	кто	22	1
6	окажется	0	VERB	ROOT	оказываться	22	1
7	победителем	6	NOUN	advmod	победитель	22	1
8	в	9	ADP	case	в	22	1
9	борьбе	13	NOUN	nmod	борьба	22	1
10	за	11	ADP	case	за	22	1
11	Алеппо,	9	PROPN	nmod	алеппо	22	1
12	фактически	13	ADV	advmod	фактически	22	1
13	победит	6	VERB	parataxis	побеждать	22	1
14	в	15	ADP	case	в	22	1
15	борьбе	19	NOUN	nmod	борьба	22	1
16	за	18	ADP	case	за	22	1
17	всю	18	DET	det	весь	22	1
18	Сирию,	15	PROPN	nmod	сирия	22	1
19	отмечал	13	VERB	conj	отмечать	22	1
20	Javan	19	X	dobj	Javan	22	1
21	и	19	CONJ	cc	и	22	1
22	делал	19	VERB	conj	делать	22	1
23	вывод:	22	VERB	xcomp	вывод	22	1
24	в	25	ADP	case	в	22	1
25	Москве	23	PROPN	nmod	москва	22	1
26	подозревают,	30	ADJ	amod	подозревать	22	1
27	что	30	SCONJ	mark	что	22	1
28	просьбы	30	NOUN	nsubj	просьба	22	1
29	Вашингтона	28	PROPN	nmod	вашингтон	22	1
30	—	23	PUNCT	ccomp	"—
"	22	1
31	не	32	PART	neg	не	22	1
32	более	36	ADV	advmod	более	22	1
33	чем	35	ADP	case	что	22	1
34	очередная	35	ADJ	amod	очередной	22	1
35	попытка	32	NOUN	nmod	попытка	22	1
36	предоставить	30	VERB	xcomp	предоставлять	22	1
37	передышку	36	NOUN	dobj	передышка	22	1
38	оппозиции,	37	VERB	acl	оппозиция	22	1
39	ведущей	40	ADJ	amod	вести	22	1
40	борьбу	38	NOUN	dobj	борьба	22	1
41	с	46	ADP	case	с	22	1
42	Дамаском,	46	ADJ	amod	дамаск	22	1
43	а	42	CONJ	cc	а	22	1
44	заодно	42	ADV	conj	заодно	22	1
45	и	42	CONJ	cc	и	22	1
46	боевикам.	40	NOUN	nmod	боевик	22	1
1	О	3	ADP	case	о	23	1
2	категорическом	3	ADJ	amod	категорический	23	1
3	отказе	5	NOUN	nmod	отказ	23	1
4	России	3	PROPN	nmod	россия	23	1
5	влиять	0	VERB	ROOT	влиять	23	1
6	на	8	ADP	case	на	23	1
7	сирийское	8	ADJ	amod	сирийский	23	1
8	руководство	5	NOUN	nmod	руководство	23	1
9	относительно	10	ADV	advmod	относительно	23	1
10	«какого-либо	8	PUNCT	nmod	какой-либо	23	1
11	расширения	10	NOUN	nmod	расширение	23	1
12	зоны	11	NOUN	nmod	зона	23	1
13	действия	11	NOUN	nmod	действие	23	1
14	перемирия»,	13	VERB	acl	перемирие	23	1
15	также	14	CONJ	cc	также	23	1
16	писала	14	VERB	conj	писать	23	1
17	и	5	CONJ	cc	и	23	1
18	Resalat	5	X	conj	Resalat	23	1
19	(1.05).	18	NUM	nummod	1.05	23	1
1	Издание,	9	PRON	nsubj	издание	24	1
2	со	3	ADP	case	со	24	1
3	ссылкой	1	NOUN	nmod	ссылка	24	1
4	на	6	ADP	case	на	24	1
5	срочное	6	ADJ	amod	срочный	24	1
6	сообщение	9	NOUN	nmod	сообщение	24	1
7	канала	6	NOUN	nmod	канал	24	1
8	«Аль-Джазира»,	7	PROPN	appos	аль-джазира	24	1
9	сообщало	0	VERB	ROOT	сообщать	24	1
10	о	11	ADP	case	о	24	1
11	заявлении	9	NOUN	nmod	заявление	24	1
12	МИД	11	PROPN	nmod	мид	24	1
13	России,	12	PROPN	name	россия	24	1
14	согласно	15	ADP	case	согласно	24	1
15	которому	18	DET	nmod	который	24	1
16	Россия	18	PROPN	nsubj	россия	24	1
17	не	18	PART	neg	не	24	1
18	намерена	12	ADJ	acl:relcl	намерен	24	1
19	оказывать	18	VERB	xcomp	оказывать	24	1
20	на	21	ADP	case	на	24	1
21	режим	19	NOUN	nmod	режим	24	1
22	Асада	21	PROPN	nmod	асад	24	1
23	давление	18	NOUN	nsubj	давление	24	1
24	с	25	ADP	case	с	24	1
25	целью	23	NOUN	nmod	цель	24	1
26	приостановить	25	VERB	acl	приостанавливать	24	1
27	подготовку	26	NOUN	dobj	подготовка	24	1
28	к	29	ADP	case	к	24	1
29	штурму	27	NOUN	nmod	штурм	24	1
30	Алеппо.	29	PROPN	nmod	алеппо	24	1
1	Но	7	CONJ	cc:preconj	но	25	1
2	через	3	ADP	case	через	25	1
3	пару	7	NOUN	nmod	пара	25	1
4	дней	3	NOUN	nmod	день	25	1
5	тот	7	DET	det	тот	25	1
6	же	5	X	discourse	же	25	1
7	портал	10	VERB	nsubj	портал	25	1
8	Javan	7	PROPN	dobj	Javan	25	1
9	(3.05)	8	NUM	nummod	3.05	25	1
10	сообщил	0	VERB	ROOT	сообщать	25	1
11	о	12	ADP	case	о	25	1
12	смягчении	10	NOUN	nmod	смягчение	25	1
13	позиции	12	NOUN	nmod	позиция	25	1
14	России	13	PROPN	nmod	россия	25	1
15	по	16	ADP	case	по	25	1
16	«расширению	13	NOUN	nmod	расширение	25	1
17	зоны	16	NOUN	nmod	зона	25	1
18	перемирия»	10	NOUN	nsubj	перемирие	25	1
19	в	20	ADP	case	в	25	1
20	Сирии.	10	PROPN	nmod	сирия	25	1
1	Издание	2	NOUN	nsubj	издание	26	1
2	отметило,	0	VERB	ROOT	отмечать	26	1
3	что,	4	SCONJ	case	что	26	1
4	действительно,	15	NOUN	nmod	действительно	26	1
5	по	6	ADP	case	по	26	1
6	мере	15	NOUN	nmod	мера	26	1
7	подготовки	6	NOUN	nmod	подготовка	26	1
8	решающего	9	ADJ	amod	решающий	26	1
9	штурма	7	NOUN	nmod	штурм	26	1
10	Алеппо	9	PROPN	nmod	алеппо	26	1
11	сирийской	12	ADJ	amod	сирийский	26	1
12	армией	7	NOUN	nmod	армия	26	1
13	Россия	15	PROPN	nsubj	россия	26	1
14	неоднократно	15	ADV	advmod	неоднократно	26	1
15	заявляла	2	VERB	parataxis	заявлять	26	1
16	об	17	ADP	case	об	26	1
17	отказе	15	NOUN	nmod	отказ	26	1
18	обсуждать	15	VERB	xcomp	обсуждать	26	1
19	этот	20	DET	det	этот	26	1
20	вопрос.	18	NOUN	dobj	вопрос	26	1
1	Однако	14	CONJ	cc:preconj	однако	27	1
2	после	3	ADP	case	после	27	1
3	визита	14	NOUN	nmod	визит	27	1
4	в	5	ADP	case	в	27	1
5	Москву	3	PROPN	nmod	москва	27	1
6	спецпосланника	3	NOUN	nmod	спецпосланник	27	1
7	ООН	6	PROPN	nmod	оон	27	1
8	по	9	ADP	case	по	27	1
9	Сирии	3	PROPN	nmod	сирия	27	1
10	Стаффана	9	PROPN	nmod	стаффан	27	1
11	де	10	PROPN	name	де	27	1
12	Мистуры	14	PROPN	nsubj	мистура	27	1
13	стало	14	VERB	cop	становиться	27	1
14	известно	0	ADJ	ROOT	известно	27	1
15	об	16	ADP	case	об	27	1
16	изменении	14	NOUN	nmod	изменение	27	1
17	позиции	16	NOUN	nmod	позиция	27	1
18	МИДа	17	PROPN	appos	мид	27	1
19	РФ:	18	PROPN	name	рф	27	1
20	Россия	21	PROPN	nsubj	россия	27	1
21	обозначила	14	VERB	parataxis	обозначать	27	1
22	готовность	21	NOUN	dobj	готовность	27	1
23	к	25	ADP	case	к	27	1
24	дискуссии,	25	ADJ	amod	дискуссия	27	1
25	подчеркнув	22	NOUN	nmod	подчеркивать	27	1
26	при	35	ADP	case	при	27	1
27	этом,	35	DET	det	это	27	1
28	что	32	SCONJ	mark	что	27	1
29	ее	30	PRON	det	она	27	1
30	согласие	32	NOUN	nsubj	согласие	27	1
31	будет	32	VERB	aux	быть	27	1
32	возможно	33	ADV	advmod	возможно	27	1
33	только	35	ADV	discourse	только	27	1
34	при	35	ADP	case	при	27	1
35	выполнении	21	NOUN	nmod	выполнение	27	1
36	«ряда	35	NOUN	nmod	ряд	27	1
37	серьезных	38	ADJ	amod	серьезный	27	1
38	условий»	36	NOUN	nmod	условие	27	1
